CustomerID,customer_order_count,customer_total_revenue,customer_avg_order_value,customer_first_order_date,customer_last_order_date,customer_active_months,customer_total_quantity,customer_unique_products,customer_line_count,customer_country_count,primary_country,customer_active_days,value_tier
12409,3,11072.67,3690.89,2011-06-10 12:19:00,2011-09-22 10:38:00,2,5551,91,109,1,Switzerland,103,High Value
12410,2,693.33,346.66,2011-02-04 10:38:00,2011-02-04 10:39:00,1,211,26,26,1,Switzerland,0,Medium Value
12412,3,1226.88,408.96,2011-06-23 13:51:00,2011-09-26 10:16:00,3,829,43,61,1,Denmark,94,Medium Value
12413,3,758.1,252.7,2011-01-06 16:12:00,2011-10-04 09:00:00,3,286,29,38,1,France,270,Medium Value
12414,3,562.41,187.47,2011-02-02 14:51:00,2011-05-06 14:51:00,3,300,16,18,1,Austria,93,Medium Value
12415,21,124914.53,5948.31,2011-01-06 11:12:00,2011-11-15 14:22:00,11,77374,444,714,1,Australia,313,High Value
12417,9,3649.1,405.46,2010-12-17 11:51:00,2011-12-06 14:52:00,8,1552,158,192,2,Belgium,354,High Value
12418,1,668.58,668.58,2011-08-19 11:08:00,2011-08-19 11:08:00,1,407,34,34,1,Switzerland,0,Medium Value
12420,1,600.39,600.39,2011-10-07 08:55:00,2011-10-07 08:55:00,1,345,29,29,1,Cyprus,0,Medium Value
12421,4,807.04,201.76,2011-01-24 15:09:00,2011-11-24 09:07:00,4,484,32,45,1,Spain,303,Medium Value
12422,3,803.56,267.85,2011-01-19 09:13:00,2011-09-05 09:48:00,3,370,39,39,2,Australia,229,Medium Value
12423,8,1859.31,232.41,2010-12-21 10:54:00,2011-12-09 10:10:00,8,1339,97,125,1,Belgium,352,Medium Value
12424,2,1760.96,880.48,2011-06-30 12:06:00,2011-06-30 12:06:00,1,740,30,30,1,Australia,0,Medium Value
12425,1,777.2,777.2,2011-09-22 17:31:00,2011-09-22 17:31:00,1,496,36,36,1,Portugal,0,Medium Value
12426,1,582.73,582.73,2011-05-29 12:26:00,2011-05-29 12:26:00,1,258,30,30,1,Germany,0,Medium Value
12427,3,825.8,275.27,2010-12-03 10:44:00,2011-11-18 08:56:00,3,533,26,31,1,Germany,349,Medium Value
12428,9,7956.46,884.05,2011-03-01 09:33:00,2011-11-14 08:22:00,5,3536,258,294,1,Finland,257,High Value
12429,4,3750.4,937.6,2010-12-09 12:05:00,2011-11-30 17:22:00,4,1557,82,97,2,Denmark,356,High Value
12430,1,256.4,256.4,2011-10-27 15:09:00,2011-10-27 15:09:00,1,117,11,11,1,Norway,0,Low Value
12431,15,6419.95,428.0,2010-12-01 10:03:00,2011-11-04 11:55:00,8,2896,163,234,2,Australia,338,High Value
12432,5,5059.32,1011.86,2011-06-20 13:27:00,2011-10-28 11:43:00,2,1801,107,108,1,Norway,129,High Value
12433,7,13375.87,1910.84,2010-12-01 13:24:00,2011-12-09 10:02:00,5,11071,219,420,1,Norway,372,High Value
12434,2,806.14,403.07,2011-03-24 13:05:00,2011-09-16 12:38:00,2,394,46,50,1,Australia,175,Medium Value
12435,2,7829.89,3914.94,2011-03-17 07:40:00,2011-09-21 09:06:00,2,2055,31,36,1,Denmark,188,High Value
12436,1,509.01,509.01,2011-09-01 12:09:00,2011-09-01 12:09:00,1,211,16,16,1,Norway,0,Medium Value
12437,18,4951.41,275.08,2011-01-12 14:13:00,2011-12-08 11:35:00,10,2922,118,199,1,France,329,High Value
12438,2,2906.85,1453.42,2011-07-22 13:29:00,2011-11-25 13:28:00,2,1180,84,98,1,Norway,125,High Value
12441,1,173.55,173.55,2010-12-08 10:45:00,2010-12-08 10:45:00,1,121,11,11,1,France,0,Low Value
12442,1,172.06,172.06,2011-12-06 14:22:00,2011-12-06 14:22:00,1,182,12,12,1,Spain,0,Low Value
12444,5,5005.46,1001.09,2011-06-21 14:00:00,2011-11-18 13:23:00,5,1153,138,176,1,Norway,149,High Value
12445,1,133.4,133.4,2011-11-17 18:43:00,2011-11-17 18:43:00,1,62,4,4,1,Spain,0,Low Value
12446,1,1002.31,1002.31,2011-10-13 12:50:00,2011-10-13 12:50:00,1,351,57,57,1,RSA,0,Medium Value
12447,1,476.49,476.49,2011-04-10 13:25:00,2011-04-10 13:25:00,1,190,26,26,1,Belgium,0,Medium Value
12448,1,449.45,449.45,2011-10-26 13:46:00,2011-10-26 13:46:00,1,243,22,22,1,Spain,0,Medium Value
12449,4,4067.29,1016.82,2011-06-05 15:37:00,2011-11-17 13:46:00,4,1553,118,191,1,Belgium,164,High Value
12450,2,197.88,98.94,2011-06-19 14:36:00,2011-07-06 14:41:00,2,128,7,8,1,Spain,17,Low Value
12451,5,9035.52,1807.1,2011-01-19 09:05:00,2011-11-29 08:40:00,4,6575,265,354,1,Switzerland,313,High Value
12452,2,430.57,215.28,2011-11-23 08:05:00,2011-11-23 10:28:00,1,185,21,22,1,Switzerland,0,Medium Value
12453,1,707.09,707.09,2011-07-28 14:08:00,2011-07-28 14:08:00,1,473,43,43,1,Austria,0,Medium Value
12454,1,3528.34,3528.34,2011-10-14 17:13:00,2011-10-14 17:13:00,1,1006,15,15,1,Spain,0,High Value
12455,6,2466.86,411.14,2011-02-16 09:56:00,2011-09-27 15:31:00,5,2089,85,90,2,Spain,223,High Value
12456,3,3181.04,1060.35,2011-03-30 09:12:00,2011-10-26 14:41:00,3,1633,105,125,1,Switzerland,210,High Value
12457,7,2363.23,337.6,2011-04-14 18:57:00,2011-10-04 13:13:00,3,843,53,62,2,Switzerland,172,High Value
12458,2,947.4,473.7,2011-02-28 10:55:00,2011-09-29 15:25:00,2,506,35,38,1,Switzerland,213,Medium Value
12461,2,826.88,413.44,2011-07-08 10:23:00,2011-09-06 16:57:00,2,287,35,35,1,Switzerland,60,Medium Value
12462,2,1189.59,594.8,2011-02-09 14:44:00,2011-11-21 09:11:00,2,536,51,62,1,Spain,284,Medium Value
12463,4,1344.78,336.2,2011-04-12 12:47:00,2011-10-17 13:44:00,4,776,65,83,1,Belgium,188,Medium Value
12464,8,1212.05,151.51,2011-02-03 13:30:00,2011-11-29 13:33:00,5,112,6,29,1,Belgium,299,Medium Value
12465,2,742.19,371.1,2011-06-23 13:37:00,2011-11-22 16:34:00,2,479,46,47,1,Belgium,152,Medium Value
12468,2,729.54,364.77,2011-01-27 13:29:00,2011-06-05 11:36:00,2,366,36,38,1,Germany,128,Medium Value
12471,30,19788.65,659.62,2010-12-10 09:35:00,2011-12-07 15:43:00,12,8200,150,459,1,Germany,362,High Value
12472,7,6572.11,938.87,2010-12-05 14:19:00,2011-11-07 14:01:00,7,4148,219,339,1,Germany,336,High Value
12473,5,3928.05,785.61,2011-06-01 10:15:00,2011-11-10 13:46:00,4,2414,140,167,1,Germany,162,High Value
12474,18,7324.09,406.89,2011-01-14 10:06:00,2011-11-22 14:39:00,9,4833,253,422,1,Germany,312,High Value
12475,1,723.38,723.38,2011-10-17 10:10:00,2011-10-17 10:10:00,1,535,36,36,1,Germany,0,Medium Value
12476,11,6816.42,619.67,2010-12-13 14:39:00,2011-11-24 12:40:00,9,2408,177,233,1,Germany,345,High Value
12477,6,13219.74,2203.29,2011-02-11 12:45:00,2011-11-17 09:51:00,5,3653,191,300,1,Germany,278,High Value
12478,1,680.99,680.99,2011-12-06 09:56:00,2011-12-06 09:56:00,1,236,36,36,1,Greece,0,Medium Value
12479,1,527.2,527.2,2011-11-28 13:26:00,2011-11-28 13:26:00,1,385,31,31,1,Germany,0,Medium Value
12480,4,3281.63,820.41,2011-01-07 15:27:00,2011-11-11 14:52:00,4,1707,129,154,1,Germany,307,High Value
12481,10,5579.82,557.98,2010-12-09 10:13:00,2011-11-17 08:29:00,7,3294,150,216,1,Germany,342,High Value
12483,8,2484.98,310.62,2011-01-04 14:20:00,2011-11-22 17:02:00,7,1110,46,75,1,Sweden,322,High Value
12484,6,4527.32,754.55,2011-01-07 14:04:00,2011-11-07 11:37:00,4,2187,256,343,1,Spain,303,High Value
12488,3,1298.66,432.89,2011-09-25 10:34:00,2011-11-30 08:50:00,3,529,46,55,1,France,65,Medium Value
12489,1,334.93,334.93,2011-01-07 13:13:00,2011-01-07 13:13:00,1,105,15,15,1,France,0,Low Value
12490,10,5417.93,541.79,2011-01-14 09:13:00,2011-12-04 16:07:00,8,3064,131,245,1,France,324,High Value
12491,1,460.4,460.4,2011-11-01 12:18:00,2011-11-01 12:18:00,1,260,25,26,1,France,0,Medium Value
12492,2,263.21,131.6,2011-08-26 14:51:00,2011-10-07 15:15:00,2,192,19,20,1,Germany,42,Low Value
12493,2,433.74,216.87,2011-05-26 14:53:00,2011-06-27 10:17:00,2,207,20,22,1,France,31,Medium Value
12494,7,1246.1,178.01,2010-12-09 11:31:00,2011-11-24 09:34:00,6,707,63,77,1,France,349,Medium Value
12497,1,1043.1,1043.1,2011-09-19 12:29:00,2011-09-19 12:29:00,1,1236,14,14,1,Germany,0,Medium Value
12498,3,403.7,134.57,2011-10-13 09:30:00,2011-11-18 12:53:00,2,159,21,23,1,Germany,36,Medium Value
12500,11,4257.82,387.07,2011-01-10 09:48:00,2011-11-16 16:20:00,7,2678,34,61,1,Germany,310,High Value
12501,1,2169.39,2169.39,2011-01-07 12:28:00,2011-01-07 12:28:00,1,1783,149,149,1,Germany,0,High Value
12502,5,3723.87,744.77,2011-02-03 10:41:00,2011-09-05 11:52:00,5,820,102,147,1,Spain,214,High Value
12504,2,482.05,241.02,2011-11-09 14:56:00,2011-11-21 16:02:00,1,90,6,9,1,Germany,12,Medium Value
12506,1,73.5,73.5,2011-04-21 08:54:00,2011-04-21 08:54:00,1,23,23,23,1,France,0,Low Value
12507,3,1304.81,434.94,2011-02-14 09:24:00,2011-07-28 17:09:00,2,894,19,21,1,Spain,164,Medium Value
12508,2,397.88,198.94,2011-11-10 16:27:00,2011-11-13 15:37:00,1,271,57,68,1,France,2,Medium Value
12509,1,176.5,176.5,2011-02-28 14:45:00,2011-02-28 14:45:00,1,55,7,7,1,France,0,Low Value
12510,2,982.57,491.28,2011-01-18 14:04:00,2011-07-20 10:15:00,2,353,29,33,1,Spain,182,Medium Value
12512,2,132.18,66.09,2011-10-04 14:53:00,2011-10-04 14:55:00,1,96,31,31,1,Israel,0,Low Value
12513,1,612.29,612.29,2011-08-19 10:51:00,2011-08-19 10:51:00,1,462,35,35,1,France,0,Medium Value
12514,1,1017.68,1017.68,2011-03-17 16:38:00,2011-03-17 16:38:00,1,440,51,51,1,Italy,0,Medium Value
12515,1,383.7,383.7,2010-12-21 15:43:00,2010-12-21 15:43:00,1,131,16,16,1,Italy,0,Medium Value
12516,2,1312.06,656.03,2011-06-12 11:37:00,2011-09-23 09:13:00,2,875,20,26,1,Germany,102,Medium Value
12517,5,2481.6,496.32,2011-06-02 15:13:00,2011-11-11 14:04:00,4,1361,232,279,1,Germany,161,High Value
12518,5,2056.89,411.38,2011-08-21 13:18:00,2011-12-09 10:13:00,5,1318,84,124,1,Germany,109,High Value
12519,1,330.84,330.84,2011-10-07 09:26:00,2011-10-07 09:26:00,1,175,17,17,1,Germany,0,Low Value
12520,5,2634.26,526.85,2011-03-11 11:35:00,2011-09-21 15:23:00,4,1439,121,152,1,Germany,194,High Value
12521,1,599.68,599.68,2011-07-20 10:51:00,2011-07-20 10:51:00,1,309,38,38,1,Germany,0,Medium Value
12522,2,192.72,96.36,2011-10-19 14:41:00,2011-10-31 15:30:00,1,194,11,12,1,Germany,12,Low Value
12523,11,1789.77,162.71,2011-01-12 09:43:00,2011-11-20 12:55:00,9,865,84,106,1,France,312,Medium Value
12524,8,4485.72,560.72,2011-01-10 10:35:00,2011-11-30 15:31:00,7,3699,113,144,1,Germany,324,High Value
12526,3,1316.66,438.89,2011-09-06 14:19:00,2011-12-09 12:09:00,3,632,64,71,1,Germany,93,Medium Value
12527,3,348.71,116.24,2011-01-18 12:05:00,2011-09-19 11:55:00,3,234,18,18,1,Germany,243,Low Value
12528,6,1933.48,322.25,2011-01-31 09:05:00,2011-11-30 14:40:00,6,756,50,92,1,Germany,303,Medium Value
12530,4,1662.28,415.57,2011-01-07 10:04:00,2011-10-11 12:34:00,4,913,51,66,1,Germany,277,Medium Value
12531,1,125.22,125.22,2011-11-25 11:12:00,2011-11-25 11:12:00,1,45,17,17,1,Germany,0,Low Value
12532,1,349.83,349.83,2011-11-09 13:47:00,2011-11-09 13:47:00,1,153,16,16,1,France,0,Medium Value
12534,1,1089.18,1089.18,2011-08-01 10:26:00,2011-08-01 10:26:00,1,651,63,63,1,Germany,0,Medium Value
12535,2,716.35,358.17,2011-06-06 12:47:00,2011-09-09 08:48:00,2,219,28,34,1,France,94,Medium Value
12536,3,12601.83,4200.61,2011-10-11 14:52:00,2011-10-27 14:20:00,1,2803,260,261,1,France,15,High Value
12538,1,363.95,363.95,2011-11-10 17:16:00,2011-11-10 17:16:00,1,191,21,21,1,Spain,0,Medium Value
12539,4,5568.35,1392.09,2011-01-10 09:11:00,2011-11-17 13:30:00,3,2067,157,273,1,Spain,311,High Value
12540,17,13400.24,788.25,2010-12-13 09:39:00,2011-11-20 11:31:00,11,6685,277,478,1,Spain,342,High Value
12541,3,981.18,327.06,2011-03-04 09:32:00,2011-11-10 10:40:00,3,680,46,52,1,Spain,251,Medium Value
12544,1,372.7,372.7,2011-11-03 16:15:00,2011-11-03 16:15:00,1,136,19,19,1,Spain,0,Medium Value
12545,2,1000.39,500.2,2011-03-25 12:04:00,2011-09-25 13:39:00,2,523,42,50,1,Spain,184,Medium Value
12546,2,1161.5,580.75,2011-09-23 09:44:00,2011-10-24 12:09:00,2,633,59,69,1,Spain,31,Medium Value
12547,2,207.8,103.9,2011-03-04 12:46:00,2011-05-26 12:38:00,2,134,7,8,1,Spain,82,Low Value
12548,1,95.2,95.2,2011-06-26 15:35:00,2011-06-26 15:35:00,1,49,5,5,1,Spain,0,Low Value
12550,1,964.83,964.83,2011-09-21 14:35:00,2011-09-21 14:35:00,1,569,57,57,1,Spain,0,Medium Value
12551,1,168.0,168.0,2010-12-17 11:23:00,2010-12-17 11:23:00,1,100,10,10,1,Spain,0,Low Value
12552,2,437.82,218.91,2011-10-31 12:11:00,2011-11-01 10:02:00,2,88,20,20,1,Italy,0,Medium Value
12553,10,3692.28,369.23,2011-01-14 10:42:00,2011-12-01 16:38:00,9,1965,95,191,1,France,321,High Value
12556,2,599.56,299.78,2011-07-11 13:35:00,2011-10-20 13:06:00,2,355,100,119,1,Spain,100,Medium Value
12557,5,11990.96,2398.19,2010-12-03 12:20:00,2011-11-23 16:59:00,5,4384,15,33,1,Spain,355,High Value
12558,1,269.96,269.96,2011-12-02 10:41:00,2011-12-02 10:41:00,1,196,11,11,1,USA,0,Low Value
12559,2,561.71,280.86,2011-01-24 10:12:00,2011-02-02 09:49:00,2,283,21,21,1,Germany,8,Medium Value
12560,3,2134.01,711.34,2011-07-19 15:55:00,2011-12-04 13:54:00,3,1110,91,105,1,Germany,137,High Value
12561,1,238.85,238.85,2011-02-10 11:39:00,2011-02-10 11:39:00,1,177,16,16,1,Germany,0,Low Value
12562,7,3781.74,540.25,2011-05-25 12:44:00,2011-12-01 17:20:00,7,1779,99,168,1,France,190,High Value
12564,1,456.9,456.9,2011-03-23 14:55:00,2011-03-23 14:55:00,1,133,21,21,1,France,0,Medium Value
12565,1,145.92,145.92,2011-02-24 10:34:00,2011-02-24 10:34:00,1,80,9,9,1,Saudi Arabia,0,Low Value
12566,1,351.65,351.65,2011-09-14 14:30:00,2011-09-14 14:30:00,1,265,19,19,1,Germany,0,Medium Value
12567,10,9401.28,940.13,2010-12-05 11:57:00,2011-11-17 11:02:00,7,4305,323,446,1,France,346,High Value
12569,32,4124.69,128.9,2011-04-01 13:47:00,2011-12-07 16:24:00,9,1801,92,188,1,Germany,250,High Value
12571,2,519.61,259.8,2011-08-10 12:35:00,2011-10-31 10:19:00,2,523,31,34,1,France,81,Medium Value
12572,2,1020.42,510.21,2011-10-19 08:20:00,2011-12-01 09:20:00,2,452,53,60,1,Germany,43,Medium Value
12573,1,160.54,160.54,2011-04-26 15:52:00,2011-04-26 15:52:00,1,84,26,28,1,France,0,Low Value
12574,1,218.45,218.45,2011-01-28 09:20:00,2011-01-28 09:20:00,1,61,11,11,1,France,0,Low Value
12576,5,1315.83,263.17,2011-02-08 11:31:00,2011-11-04 10:11:00,5,967,72,88,1,Poland,268,Medium Value
12577,3,626.6,208.87,2010-12-15 16:21:00,2011-11-04 13:24:00,2,469,137,146,1,France,323,Medium Value
12578,2,2794.51,1397.26,2011-01-13 15:34:00,2011-11-18 13:30:00,2,1196,111,114,1,Italy,308,High Value
12579,1,440.42,440.42,2011-09-22 17:15:00,2011-09-22 17:15:00,1,285,29,29,1,France,0,Medium Value
12580,1,415.7,415.7,2011-04-07 10:24:00,2011-04-07 10:24:00,1,238,24,24,1,Germany,0,Medium Value
12581,1,197.71,197.71,2011-10-31 08:56:00,2011-10-31 08:56:00,1,161,15,15,1,Germany,0,Low Value
12582,2,511.36,255.68,2011-02-24 11:42:00,2011-04-15 08:45:00,2,300,21,22,1,Finland,49,Medium Value
12583,15,7281.38,485.43,2010-12-01 08:45:00,2011-12-07 08:07:00,12,5060,115,247,1,France,370,High Value
12584,9,2338.15,259.79,2011-03-04 15:15:00,2011-12-06 09:35:00,8,416,44,96,1,Italy,276,High Value
12585,2,2040.1,1020.05,2010-12-23 12:58:00,2011-04-19 13:39:00,2,1279,77,87,1,Germany,117,Medium Value
12586,1,196.94,196.94,2011-11-22 16:24:00,2011-11-22 16:24:00,1,79,11,11,1,Italy,0,Low Value
12587,1,144.0,144.0,2011-12-02 12:47:00,2011-12-02 12:47:00,1,51,4,4,1,Finland,0,Low Value
12588,1,214.9,214.9,2011-10-31 15:01:00,2011-10-31 15:01:00,1,53,10,10,1,Finland,0,Low Value
12589,2,646.68,323.34,2011-07-18 12:05:00,2011-11-11 10:19:00,2,306,29,35,1,France,115,Medium Value
12590,2,9864.26,4932.13,2011-05-12 14:46:00,2011-05-12 14:52:00,1,4283,68,68,1,Germany,0,High Value
12591,1,452.85,452.85,2011-01-26 14:35:00,2011-01-26 14:35:00,1,228,26,26,1,Italy,0,Medium Value
12592,2,437.6,218.8,2011-05-10 13:44:00,2011-09-08 15:04:00,2,290,11,18,1,Germany,121,Medium Value
12593,3,418.1,139.37,2011-05-05 09:29:00,2011-08-23 12:43:00,2,206,14,21,1,France,110,Medium Value
12594,10,3338.22,333.82,2011-01-21 09:52:00,2011-11-02 12:20:00,9,1777,50,118,1,Italy,285,High Value
12596,2,618.27,309.14,2011-04-11 13:22:00,2011-10-19 13:02:00,2,474,25,27,1,Spain,190,Medium Value
12597,4,3811.22,952.8,2011-03-16 14:00:00,2011-11-20 13:33:00,4,2236,184,206,1,Spain,248,High Value
12598,8,3023.08,377.88,2011-02-28 11:58:00,2011-11-30 12:18:00,5,1964,84,132,1,France,275,High Value
12599,7,1032.58,147.51,2011-02-08 13:28:00,2011-11-10 13:34:00,6,956,32,62,1,France,275,Medium Value
12600,10,2599.04,259.9,2010-12-03 12:57:00,2011-11-11 10:29:00,9,774,32,64,1,Germany,342,High Value
12601,5,577.06,115.41,2011-01-11 10:38:00,2011-06-03 10:17:00,5,245,21,28,1,Germany,142,Medium Value
12602,1,153.12,153.12,2011-10-12 11:22:00,2011-10-12 11:22:00,1,162,12,12,1,France,0,Low Value
12603,1,739.2,739.2,2011-11-18 10:42:00,2011-11-18 10:42:00,1,63,2,2,1,Germany,0,Medium Value
12604,2,254.18,127.09,2011-03-23 12:06:00,2011-09-21 14:08:00,2,201,15,16,1,France,182,Low Value
12607,1,1579.51,1579.51,2011-10-10 16:06:00,2011-10-10 16:06:00,1,1228,101,101,1,USA,0,Medium Value
12609,3,1126.85,375.62,2011-01-25 15:13:00,2011-09-22 16:34:00,3,648,57,60,1,Germany,240,Medium Value
12610,5,2099.54,419.91,2011-08-05 13:52:00,2011-11-17 09:34:00,3,1049,85,106,1,Italy,103,High Value
12611,1,1193.32,1193.32,2011-10-18 13:12:00,2011-10-18 13:12:00,1,846,65,65,1,Italy,0,Medium Value
12612,1,704.04,704.04,2011-09-26 15:35:00,2011-09-26 15:35:00,1,262,19,19,1,Germany,0,Medium Value
12613,5,3344.38,668.88,2011-03-22 15:42:00,2011-10-13 14:59:00,3,1644,124,153,1,Germany,204,High Value
12614,1,315.6,315.6,2011-03-07 10:22:00,2011-03-07 10:22:00,1,76,20,20,1,Germany,0,Low Value
12615,4,2291.19,572.8,2011-06-24 13:35:00,2011-12-07 15:02:00,4,1376,82,105,1,France,166,High Value
12616,2,713.3,356.65,2011-02-15 14:17:00,2011-09-05 15:17:00,2,284,25,32,1,France,202,Medium Value
12617,1,352.98,352.98,2011-11-10 14:39:00,2011-11-10 14:39:00,1,210,39,41,1,France,0,Medium Value
12618,1,177.31,177.31,2011-11-18 11:10:00,2011-11-18 11:10:00,1,96,11,11,1,Italy,0,Low Value
12619,9,3641.24,404.58,2011-03-31 13:10:00,2011-11-23 14:52:00,6,3378,50,90,1,Germany,237,High Value
12620,3,1339.41,446.47,2011-05-19 12:10:00,2011-11-25 10:20:00,3,1181,89,92,1,France,189,Medium Value
12621,20,13689.67,684.48,2010-12-09 10:16:00,2011-12-08 11:25:00,12,7440,261,467,1,Germany,364,High Value
12622,1,180.1,180.1,2011-04-21 16:39:00,2011-04-21 16:39:00,1,69,11,11,1,Germany,0,Low Value
