StockCode,product_description,product_total_quantity,product_total_revenue,product_order_count,product_customer_count,product_country_count,product_avg_unit_price,product_first_sold_date,product_last_sold_date
15044A,PINK PAPER PARASOL,422,1230.58,78,53,3,3.02,2010-12-21 14:26:00,2011-12-05 17:17:00
15044B,BLUE PAPER PARASOL,307,865.65,48,36,3,2.93,2010-12-01 12:54:00,2011-09-28 15:50:00
15044C,PURPLE PAPER PARASOL,271,779.45,60,43,3,2.94,2010-12-06 14:51:00,2011-12-06 14:23:00
15044D,RED PAPER PARASOL,629,1732.79,73,53,5,2.96,2011-01-17 16:06:00,2011-12-05 16:03:00
15056BL,EDWARDIAN PARASOL BLACK,2779,15218.67,291,142,13,5.89,2010-12-01 09:41:00,2011-12-09 10:20:00
15056N,EDWARDIAN PARASOL NATURAL,3822,20672.91,378,184,13,5.86,2010-12-01 09:41:00,2011-12-09 10:20:00
15056P,EDWARDIAN PARASOL PINK,767,4242.26,135,87,9,5.94,2010-12-01 16:01:00,2011-12-08 13:50:00
15058A,BLUE POLKADOT GARDEN PARASOL,148,1104.6,51,40,8,7.81,2010-12-10 11:11:00,2011-11-23 12:48:00
15058B,PINK POLKADOT GARDEN PARASOL,115,866.25,41,32,7,7.86,2010-12-10 13:27:00,2011-11-17 12:55:00
15058C,ICE CREAM DESIGN GARDEN PARASOL,193,894.35,30,26,4,6.35,2011-02-03 14:41:00,2011-09-26 16:13:00
15060B,FAIRY CAKE DESIGN UMBRELLA,411,1482.87,95,68,8,3.82,2010-12-02 14:30:00,2011-11-18 14:14:00
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2892,360.71,70,54,7,0.14,2010-12-09 14:10:00,2011-12-09 08:48:00
16010,FOLDING CAMPING SCISSOR W/KNIF & S,30,3.6,3,3,1,0.12,2010-12-05 16:41:00,2011-03-28 14:27:00
16011,ANIMAL STICKERS,1749,367.29,46,38,3,0.21,2010-12-05 12:53:00,2011-12-07 12:41:00
16012,FOOD/DRINK SPONGE STICKERS,1220,256.2,35,33,5,0.21,2010-12-02 13:32:00,2011-12-05 14:49:00
16014,SMALL CHINESE STYLE SCISSOR,13328,4335.76,54,34,5,0.4,2010-12-01 12:15:00,2011-12-09 08:48:00
16015,MEDIUM CHINESE STYLE SCISSOR,662,289.98,24,19,1,0.49,2010-12-09 14:10:00,2011-11-17 17:34:00
16016,LARGE CHINESE STYLE SCISSOR,1273,1053.45,65,41,6,0.85,2010-12-01 12:15:00,2011-12-09 12:31:00
16020C,CLEAR STATIONERY BOX SET,6,5.1,2,1,1,0.85,2011-03-02 17:33:00,2011-04-07 19:27:00
16033,MINI HIGHLIGHTER PENS,840,100.8,4,4,1,0.12,2010-12-12 10:48:00,2011-02-17 15:40:00
16043,POP ART PUSH DOWN RUBBER,98,11.76,2,2,1,0.12,2011-06-07 10:44:00,2011-06-09 19:33:00
16045,POPART WOODEN PENCILS ASST,8900,380.0,68,61,4,0.04,2010-12-22 14:28:00,2011-12-05 12:08:00
16046,TEATIME PEN CASE & PENS,64,54.4,13,13,1,0.85,2010-12-02 11:35:00,2011-11-28 11:26:00
16048,TEATIME ROUND PENCIL SHARPENER,1436,186.72,47,41,7,0.13,2010-12-16 14:34:00,2011-11-25 11:02:00
16049,TEATIME GEL PENS ASST,504,82.08,5,5,1,0.24,2011-04-26 11:51:00,2011-05-25 11:44:00
16052,TEATIME PUSH DOWN RUBBER,467,105.29,6,5,2,0.3,2011-01-26 12:29:00,2011-06-09 19:33:00
16054,POPART RECT PENCIL SHARPENER ASST,1166,140.52,33,29,4,0.13,2010-12-10 11:33:00,2011-12-04 13:59:00
16151A,FLOWERS HANDBAG blue and orange,49,61.25,3,3,1,1.25,2011-05-11 12:32:00,2011-05-25 10:02:00
16156L,WRAP CAROUSEL,475,199.5,18,17,7,0.42,2011-01-07 09:40:00,2011-12-02 10:22:00
16156S,WRAP PINK FAIRY CAKES,5800,2331.0,167,135,9,0.42,2010-12-02 13:44:00,2011-12-08 12:29:00
16161G,WRAP BAD HAIR DAY,700,70.0,22,22,4,0.1,2011-03-15 11:45:00,2011-11-24 11:19:00
16161M,WRAP  PINK FLOCK,25,10.5,1,1,1,0.42,2010-12-02 18:15:00,2010-12-02 18:15:00
16161P,WRAP ENGLISH ROSE,7201,2980.42,248,189,18,0.42,2010-12-02 18:08:00,2011-12-07 11:43:00
16161U,WRAP SUKI AND FRIENDS,4075,1687.5,134,105,10,0.42,2010-12-05 14:45:00,2011-12-02 16:34:00
16162L,THE KING GIFT BAG,17,11.05,6,5,1,0.65,2011-06-10 11:29:00,2011-09-13 11:14:00
16162M,THE KING GIFT BAG 25x24x12cm,26,10.92,7,6,1,0.42,2011-07-19 12:47:00,2011-11-27 13:26:00
16168M,FUNKY MONKEY GIFT BAG MEDIUM,329,138.18,20,19,2,0.42,2010-12-08 15:38:00,2011-12-08 16:22:00
16169E,WRAP 50'S  CHRISTMAS,4563,1892.46,149,143,9,0.42,2011-07-21 13:06:00,2011-12-09 10:20:00
16169K,WRAP FOLK ART,200,84.0,8,8,3,0.42,2010-12-06 15:54:00,2011-09-28 16:07:00
16169M,WRAP DAISY CARPET,660,277.2,25,24,2,0.42,2011-01-05 13:40:00,2011-12-02 10:22:00
16169N,WRAP BLUE RUSSIAN FOLKART,25,10.5,1,1,1,0.42,2010-12-06 12:06:00,2010-12-06 12:06:00
16169P,WRAP GREEN RUSSIAN FOLKART,50,21.0,2,2,1,0.42,2010-12-10 11:24:00,2010-12-19 11:35:00
16202A,PASTEL PINK PHOTO ALBUM,7,3.5,2,2,1,0.5,2011-03-11 14:35:00,2011-04-17 13:43:00
16202B,PASTEL BLUE PHOTO ALBUM,29,14.5,2,2,1,0.5,2011-04-17 13:43:00,2011-04-19 14:49:00
16202E,BLACK PHOTO ALBUM,15,7.5,3,3,1,0.5,2011-04-04 16:36:00,2011-04-17 13:43:00
16206B,RED PURSE WITH PINK HEART,7,8.75,2,2,2,1.25,2010-12-23 16:06:00,2011-01-26 12:29:00
16207A,PINK STRAWBERRY HANDBAG,13,38.35,5,4,1,2.95,2010-12-19 14:41:00,2011-11-06 16:14:00
16207B,PINK HEART RED HANDBAG,4,11.31,3,3,1,2.79,2011-01-11 12:41:00,2011-08-30 10:49:00
16216,LETTER SHAPE PENCIL SHARPENER,3316,227.14,41,38,2,0.09,2010-12-12 13:47:00,2011-12-07 12:41:00
16218,CARTOON  PENCIL SHARPENERS,3760,253.2,50,43,4,0.07,2010-12-12 12:08:00,2011-12-06 11:33:00
16219,HOUSE SHAPE PENCIL SHARPENER,2915,309.9,47,41,5,0.09,2010-12-16 14:34:00,2011-12-01 12:01:00
16225,RATTLE SNAKE EGGS,760,596.84,75,57,2,1.19,2010-12-12 10:48:00,2011-12-08 20:01:00
16235,RECYCLED PENCIL WITH RABBIT ERASER,2629,518.19,80,68,4,0.21,2010-12-02 12:16:00,2011-12-07 12:41:00
16236,KITTY PENCIL ERASERS,1296,266.56,73,59,6,0.21,2010-12-10 11:24:00,2011-12-08 11:43:00
16237,SLEEPING CAT ERASERS,4595,885.45,162,109,6,0.21,2010-12-01 11:41:00,2011-12-08 19:57:00
16238,PARTY TIME PENCIL ERASERS,1259,265.09,78,61,6,0.24,2010-12-01 11:45:00,2011-12-08 11:43:00
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,7,7.85,2,2,1,1.23,2011-04-26 16:45:00,2011-05-11 15:16:00
16248B,BLUE HOLE PUNCH,13,16.25,7,7,1,1.25,2011-03-07 17:52:00,2011-10-30 15:55:00
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,31,27.91,9,7,1,1.02,2011-06-15 11:56:00,2011-11-30 14:17:00
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,445,156.53,38,29,5,0.46,2010-12-01 12:23:00,2011-12-08 09:39:00
16259,PIECE OF CAMO STATIONERY SET,3380,326.56,31,28,3,0.1,2011-03-17 15:03:00,2011-11-13 11:55:00
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,72,20.88,1,1,1,0.29,2011-02-28 14:48:00,2011-02-28 14:48:00
17003,BROCADE RING PURSE,22927,5969.61,206,136,4,0.32,2010-12-01 16:33:00,2011-12-08 11:25:00
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,24,50.4,2,2,1,2.1,2010-12-06 13:01:00,2011-06-08 14:35:00
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,80,62.15,6,6,2,1.13,2010-12-16 16:45:00,2011-05-19 12:10:00
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,270,244.9,24,21,3,1.11,2010-12-15 15:34:00,2011-12-02 14:25:00
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,455,422.55,36,33,3,1.08,2010-12-10 12:33:00,2011-11-30 14:17:00
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,362,341.8,43,37,1,1.12,2010-12-15 15:00:00,2011-12-08 12:50:00
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,385,362.95,44,35,3,1.08,2010-12-10 12:33:00,2011-12-08 12:50:00
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET,35,40.05,3,3,2,1.87,2010-12-10 12:33:00,2010-12-15 15:34:00
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,365,329.05,42,33,2,1.0,2010-12-10 12:33:00,2011-12-08 19:24:00
17013D,ORIGAMI ROSE INCENSE IN TUBE,532,257.88,11,10,1,0.87,2010-12-14 16:39:00,2011-06-07 10:05:00
17014A,ORIGAMI VANILLA INCENSE CONES,154,67.83,7,7,1,0.61,2010-12-15 15:34:00,2011-06-27 13:58:00
17021,NAMASTE SWAGAT INCENSE,2391,632.34,47,30,2,0.29,2010-12-01 12:12:00,2011-12-05 12:59:00
17028J,INCENSE BAZAAR PEACH,6,2.52,1,1,1,0.42,2011-01-31 15:27:00,2011-01-31 15:27:00
17038,PORCELAIN BUDAH INCENSE HOLDER,1501,138.1,19,18,2,0.1,2010-12-07 13:50:00,2011-11-24 12:48:00
17084A,TRANQUILITY MASALA INCENSE,200,42.0,7,7,1,0.21,2011-01-31 15:27:00,2011-09-13 14:53:00
17084J,LOVE POTION MASALA INCENSE,225,47.25,8,8,1,0.21,2010-12-07 14:30:00,2011-09-13 14:53:00
17084N,FAIRY DREAMS INCENSE,1025,212.75,32,25,1,0.21,2010-12-09 14:50:00,2011-12-08 19:24:00
17084P,DRAGONS BLOOD INCENSE,349,73.29,13,12,1,0.21,2010-12-09 14:50:00,2011-11-10 12:01:00
17084R,ASSORTED INCENSE PACK,4032,760.32,27,16,2,0.2,2010-12-03 11:48:00,2011-12-05 12:30:00
17090A,LAVENDER INCENSE 40 CONES IN TIN,109,107.45,10,9,2,1.17,2010-12-02 13:11:00,2011-11-24 10:24:00
17090D,VANILLA INCENSE 40 CONES IN TIN,29,36.25,12,6,1,1.25,2010-12-02 13:11:00,2011-07-11 11:38:00
17091A,LAVENDER INCENSE IN TIN,171,98.91,25,19,1,0.8,2010-12-01 11:21:00,2011-05-18 11:58:00
17091J,VANILLA INCENSE IN TIN,2066,876.34,87,66,4,0.55,2010-12-03 11:48:00,2011-12-09 11:20:00
17096,ASSORTED LAQUERED INCENSE HOLDERS,2516,443.76,13,12,1,0.2,2010-12-12 12:03:00,2011-07-19 15:30:00
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",170,433.5,46,42,3,2.55,2010-12-03 12:24:00,2011-12-05 15:51:00
17109D,FLOWER FAIRY INCENSE BOUQUET,61,32.35,5,4,1,0.9,2010-12-05 10:45:00,2011-04-21 12:34:00
17129F,BLUE GLASS GEMS IN BAG,427,291.25,19,11,1,0.84,2011-03-14 13:04:00,2011-11-10 12:37:00
17136A,BLUE STONES ON WIRE FOR CANDLE,352,29.59,17,16,2,0.1,2011-02-01 13:25:00,2011-11-03 18:49:00
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,27,11.34,9,9,1,0.42,2010-12-01 12:54:00,2011-01-26 14:51:00
17165D,ASS COL LARGE SAND FROG P'WEIGHT,27,28.35,7,6,1,1.05,2010-12-10 11:01:00,2011-01-12 15:22:00
17174,ASSTD RASTA KEY-CHAINS,9,3.78,3,3,2,0.42,2011-01-16 13:04:00,2011-11-24 15:01:00
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,4,15.0,2,1,1,3.75,2011-11-13 11:39:00,2011-12-04 10:51:00
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,5856,383.76,17,15,3,0.17,2010-12-06 10:18:00,2011-07-19 17:04:00
18094C,WHITE AND BLUE CERAMIC OIL BURNER,134,153.1,15,13,2,1.2,2010-12-06 13:47:00,2011-10-07 13:17:00
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER,5,12.75,4,4,1,2.55,2010-12-02 13:49:00,2011-06-22 16:16:00
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,669,1461.15,52,43,3,2.5,2010-12-02 13:49:00,2011-11-18 12:47:00
18098C,PORCELAIN BUTTERFLY OIL BURNER,193,540.55,36,24,2,2.92,2010-12-05 15:40:00,2011-08-08 13:11:00
20615,BLUE POLKADOT PASSPORT COVER,231,233.34,35,28,4,1.48,2010-12-02 19:18:00,2011-12-08 20:01:00
20616,CHERRY BLOSSOM PASSPORT COVER,134,122.78,25,19,1,1.32,2010-12-01 14:41:00,2011-12-08 20:01:00
20617,FIRST CLASS PASSPORT COVER,66,137.74,26,20,3,2.22,2010-12-14 14:15:00,2011-11-28 13:37:00
20618,QUEEN OF THE SKIES PASSPORT COVER,68,137.88,28,20,1,2.07,2010-12-08 12:46:00,2011-12-06 16:21:00
20619,TROPICAL PASSPORT COVER,142,206.23,22,16,3,2.31,2010-12-16 17:43:00,2011-11-28 15:54:00
20622,VIPPASSPORT COVER,162,238.08,32,24,2,1.99,2010-12-14 11:48:00,2011-11-28 11:18:00
20652,BLUE POLKADOT LUGGAGE TAG,147,191.01,33,26,6,1.43,2010-12-03 14:54:00,2011-12-08 20:01:00
20653,CHERRY BLOSSOM LUGGAGE TAG,33,43.67,6,5,2,1.65,2011-03-10 12:48:00,2011-12-05 17:17:00
20654,FIRST CLASS LUGGAGE TAG,105,126.69,23,21,4,1.23,2010-12-10 11:01:00,2011-12-04 13:32:00
20655,QUEEN OF SKIES LUGGAGE TAG,89,109.11,34,20,2,1.31,2010-12-05 15:12:00,2011-12-04 13:32:00
20657,TROPICAL LUGGAGE TAG,61,76.39,22,20,1,1.35,2010-12-03 14:54:00,2011-11-07 10:58:00
20658,RED RETROSPOT LUGGAGE TAG,327,408.75,59,44,6,1.25,2010-12-03 14:54:00,2011-09-26 13:57:00
20659,ECONOMY LUGGAGE TAG,94,139.56,29,18,1,1.55,2010-12-05 15:12:00,2011-12-06 13:20:00
20661,BLUE POLKADOT PURSE,9,35.07,5,3,1,4.65,2010-12-03 14:54:00,2011-10-31 14:09:00
20662,FIRST CLASS HOLIDAY PURSE,11,40.97,5,4,2,4.09,2011-01-12 12:31:00,2011-10-24 17:07:00
20663,QUEEN OF THE SKIES HOLIDAY PURSE,3,11.69,3,3,1,3.9,2010-12-12 16:14:00,2011-10-17 13:31:00
20664,TROPICAL HOLIDAY PURSE,6,17.7,3,3,1,2.95,2010-12-12 12:08:00,2010-12-21 17:16:00
20665,RED RETROSPOT PURSE,340,998.2,73,58,7,2.94,2010-12-02 15:46:00,2011-10-21 12:05:00
20666,ECONOMY HOLIDAY PURSE,4,11.8,4,4,1,2.95,2010-12-12 12:26:00,2011-04-10 11:35:00
20667,CHERRY BLOSSOM PURSE,1,2.95,1,1,1,2.95,2011-05-31 11:39:00,2011-05-31 11:39:00
20668,DISCO BALL CHRISTMAS DECORATION,12618,1397.04,181,111,5,0.12,2010-12-01 10:19:00,2011-12-09 10:51:00
20669,RED HEART LUGGAGE TAG,195,243.75,42,36,2,1.25,2010-12-01 11:45:00,2011-11-27 14:40:00
20670,VIP HOLIDAY PURSE,8,29.28,6,5,1,3.9,2010-12-12 12:08:00,2011-11-15 16:38:00
20671,BLUE TEATIME PRINT BOWL,10,12.5,2,2,1,1.25,2010-12-05 13:55:00,2010-12-09 13:34:00
20674,GREEN POLKADOT BOWL,1360,1632.81,149,101,11,1.25,2010-12-02 11:21:00,2011-12-08 15:31:00
20675,BLUE POLKADOT BOWL,2728,3178.65,223,149,14,1.24,2010-12-02 12:47:00,2011-12-08 15:31:00
20676,RED RETROSPOT BOWL,4310,4980.73,298,185,16,1.24,2010-12-02 11:21:00,2011-12-08 15:31:00
20677,PINK POLKADOT BOWL,3157,3640.08,220,133,15,1.26,2010-12-02 12:50:00,2011-12-08 15:31:00
20678,LARGE BLACK DIAMANTE HAIRSLIDE,4,6.6,1,1,1,1.65,2011-09-23 14:49:00,2011-09-23 14:49:00
20679,EDWARDIAN PARASOL RED,1630,9055.87,270,141,13,5.92,2010-12-01 09:02:00,2011-12-08 15:54:00
20681,PINK POLKADOT CHILDRENS UMBRELLA,125,406.25,33,29,6,3.25,2010-12-02 19:59:00,2011-03-10 13:58:00
20682,RED RETROSPOT CHILDRENS UMBRELLA,1140,3629.66,182,138,10,3.31,2010-12-01 17:35:00,2011-12-07 15:02:00
20684,STRAWBERRY DREAM CHILDS UMBRELLA,77,250.25,32,30,3,3.25,2010-12-05 12:13:00,2011-07-22 10:52:00
20685,DOORMAT RED RETROSPOT,3897,25364.85,576,329,17,7.76,2010-12-01 11:41:00,2011-12-09 12:49:00
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,252,822.38,64,51,7,3.3,2010-12-05 12:00:00,2011-12-08 13:50:00
20694,FLORAL PINK MONSTER,36,135.0,10,9,3,3.75,2011-02-07 11:20:00,2011-10-31 13:58:00
20695,FLORAL BLUE MONSTER,5,21.25,4,4,1,4.25,2010-12-08 15:17:00,2011-11-17 15:08:00
20696,FLORAL SOFT CAR TOY,32,120.0,10,10,4,3.75,2010-12-17 11:30:00,2011-11-04 15:08:00
20697,LITTLE GREEN MONSTER SOFT TOY,17,43.35,9,8,1,2.55,2010-12-03 17:28:00,2011-11-23 12:20:00
20698,LITTLE PINK MONSTER SOFT TOY,16,40.8,7,7,1,2.55,2011-01-11 12:41:00,2011-11-23 12:20:00
20699,MOUSEY LONG LEGS SOFT TOY,29,73.95,11,11,2,2.55,2010-12-03 17:28:00,2011-12-05 17:36:00
20700,GREEN CAT FLORAL CUSHION COVER,10,37.5,4,4,2,3.75,2010-12-21 16:06:00,2011-06-20 13:27:00
20701,PINK CAT FLORAL CUSHION COVER,6,22.5,3,3,2,3.75,2010-12-23 16:06:00,2011-06-20 13:27:00
20702,PINK PADDED MOBILE,127,539.75,40,31,6,4.25,2010-12-05 13:42:00,2011-10-26 13:07:00
20703,BLUE PADDED SOFT MOBILE,1,4.25,1,1,1,4.25,2011-04-14 11:45:00,2011-04-14 11:45:00
20704,MR ROBOT SOFT TOY,211,626.45,39,38,8,4.77,2010-12-13 15:44:00,2011-12-09 10:46:00
20705,MRS ROBOT SOFT TOY,143,428.85,28,27,4,4.81,2010-12-14 12:59:00,2011-12-06 12:19:00
20707,CRAZY DAISY HEART DECORATION,155,195.52,31,20,3,1.54,2010-12-01 12:43:00,2011-12-05 17:17:00
20711,JUMBO BAG TOYS,4198,7689.28,245,152,9,2.01,2010-12-01 14:11:00,2011-11-28 09:40:00
20712,JUMBO BAG WOODLAND ANIMALS,8187,15511.6,492,248,18,2.04,2010-12-01 13:04:00,2011-12-08 11:43:00
20713,JUMBO BAG OWLS,10451,19047.02,411,207,16,2.02,2010-12-01 11:45:00,2011-12-09 12:19:00
20716,PARTY FOOD SHOPPER BAG,314,373.5,34,31,4,1.24,2010-12-08 12:06:00,2011-06-29 11:46:00
20717,STRAWBERRY SHOPPER BAG,2034,2453.38,231,150,11,1.28,2010-12-01 11:45:00,2011-12-08 20:01:00
20718,RED RETROSPOT SHOPPER BAG,4257,5106.56,384,236,15,1.27,2010-12-02 15:18:00,2011-12-09 10:10:00
20719,WOODLAND CHARLOTTE BAG,9219,7261.94,531,238,16,0.85,2010-12-02 15:19:00,2011-12-08 15:09:00
20723,STRAWBERRY CHARLOTTE BAG,6842,5516.7,492,230,12,0.86,2010-12-01 09:37:00,2011-12-07 12:33:00
20724,RED RETROSPOT CHARLOTTE BAG,12805,10122.45,739,335,14,0.85,2010-12-02 14:47:00,2011-12-09 10:10:00
20725,LUNCH BAG RED RETROSPOT,17776,28158.8,1289,532,17,1.66,2010-12-01 09:37:00,2011-12-09 12:23:00
20726,LUNCH BAG WOODLAND,9091,14497.51,820,372,17,1.66,2010-12-01 11:21:00,2011-12-08 20:01:00
20727,LUNCH BAG  BLACK SKULL.,11246,17950.3,1052,458,12,1.64,2010-12-01 11:29:00,2011-12-09 11:34:00
20728,LUNCH BAG CARS BLUE,10789,17214.53,966,479,17,1.66,2010-12-01 11:29:00,2011-12-07 16:47:00
20731,POSY CANDY BAG,74,92.5,8,8,1,1.25,2010-12-06 12:15:00,2011-06-20 14:48:00
20733,GOLD MINI TAPE MEASURE,916,687.2,46,30,4,0.84,2010-12-02 11:35:00,2011-12-08 13:50:00
20735,BLACK MINI TAPE MEASURE,158,121.3,30,11,2,0.85,2010-12-08 12:08:00,2011-12-06 14:23:00
20748,KENSINGTON COFFEE SET,53,675.75,30,26,1,12.75,2010-12-05 13:42:00,2011-11-28 13:06:00
20749,ASSORTED COLOUR MINI CASES,1717,12107.51,365,239,16,7.79,2010-12-01 11:21:00,2011-12-09 09:38:00
20750,RED RETROSPOT MINI CASES,1711,12208.85,365,235,20,7.75,2010-12-01 11:49:00,2011-12-09 11:59:00
20751,FUNKY WASHING UP GLOVES ASSORTED,941,1917.06,171,127,9,2.1,2010-12-02 15:46:00,2011-12-04 12:32:00
20752,BLUE POLKADOT WASHING UP GLOVES,360,756.0,115,91,7,2.1,2010-12-02 15:46:00,2011-11-27 14:50:00
20754,RETROSPOT RED WASHING UP GLOVES,1355,2668.38,239,153,10,2.09,2010-12-01 12:43:00,2011-11-20 14:43:00
20755,BLUE PAISLEY POCKET BOOK,291,247.35,50,44,4,0.85,2010-12-01 17:35:00,2011-12-07 12:26:00
20756,GREEN FERN POCKET BOOK,63,53.55,22,20,2,0.85,2011-01-20 14:13:00,2011-11-22 15:45:00
20757,RED DAISY POCKET BOOK,155,132.53,30,30,1,0.88,2010-12-02 14:09:00,2011-11-27 12:13:00
20758,ABSTRACT CIRCLES POCKET BOOK,158,134.3,41,35,1,0.85,2010-12-09 14:19:00,2011-12-07 13:53:00
20759,CHRYSANTHEMUM POCKET BOOK,64,54.4,20,17,1,0.85,2010-12-02 14:09:00,2011-12-07 13:53:00
20760,GARDEN PATH POCKET BOOK,69,58.65,21,18,2,0.85,2010-12-02 14:09:00,2011-11-24 14:09:00
20761,BLUE PAISLEY SKETCHBOOK,107,408.67,52,46,4,3.82,2010-12-08 14:46:00,2011-12-07 12:21:00
20762,GREEN FERN SKETCHBOOK,101,382.46,51,42,2,3.82,2010-12-07 15:39:00,2011-12-06 12:56:00
20763,DAISY SKETCHBOOK,71,189.96,25,24,2,3.7,2010-12-08 12:36:00,2011-12-06 12:15:00
20764,ABSTRACT CIRCLES SKETCHBOOK,126,483.63,60,45,3,3.93,2010-12-05 13:00:00,2011-12-06 14:35:00
20765,CHRYSANTHEMUM SKETCHBOOK,94,367.34,51,45,2,3.97,2010-12-01 17:24:00,2011-12-05 17:17:00
20766,GARDEN PATH SKETCHBOOK,111,414.58,47,41,5,3.89,2010-12-02 15:46:00,2011-12-04 15:00:00
20767,BLUE PAISLEY JOURNAL,214,534.32,58,50,5,2.63,2010-12-03 11:19:00,2011-12-06 14:35:00
20768,GREEN FERN JOURNAL,130,317.71,36,31,2,2.6,2010-12-01 16:57:00,2011-12-06 15:43:00
20769,DAISY JOURNAL,66,173.12,26,21,3,2.64,2010-12-06 12:06:00,2011-12-06 15:43:00
20770,ABSTRACT CIRCLE JOURNAL,107,256.65,28,24,3,2.53,2010-12-05 16:41:00,2011-11-27 11:47:00
20771,CHRYSANTHEMUM  JOURNAL,70,180.91,27,21,3,2.64,2010-12-05 16:41:00,2011-12-06 12:56:00
20772,GARDEN PATH JOURNAL,218,534.46,46,40,5,2.59,2010-12-01 12:43:00,2011-12-08 19:28:00
20773,BLUE PAISLEY NOTEBOOK,56,92.4,23,21,1,1.65,2010-12-01 12:15:00,2011-09-12 13:43:00
20774,GREEN FERN NOTEBOOK,52,85.8,22,21,2,1.65,2010-12-01 12:15:00,2011-09-26 10:39:00
20775,DAISY NOTEBOOK,63,103.95,20,19,1,1.65,2010-12-06 12:44:00,2011-11-30 17:37:00
20777,CHRYSANTHEMUM NOTEBOOK,95,156.75,36,32,3,1.65,2010-12-01 12:15:00,2011-11-30 17:37:00
20778,GARDEN PATH NOTEBOOK,15,24.75,8,8,1,1.65,2010-12-09 14:19:00,2011-04-26 13:22:00
20780,BLACK EAR MUFF HEADPHONES,36,192.86,17,13,2,5.74,2010-12-01 16:57:00,2011-11-25 11:20:00
20781,GOLD EAR MUFF HEADPHONES,29,152.13,20,19,2,5.14,2010-12-06 08:34:00,2011-12-07 14:12:00
20782,CAMOUFLAGE EAR MUFF HEADPHONES,39,215.87,17,12,2,5.59,2010-12-07 09:13:00,2011-12-06 12:56:00
20785,FUSCHIA RETRO BAR STOOL,14,523.3,5,4,1,39.15,2011-01-05 15:56:00,2011-04-06 12:08:00
20793,BLUE TILED TRAY,8,54.0,4,4,1,6.75,2010-12-12 12:01:00,2011-09-08 10:35:00
20794,BLUE  TILE HOOK,85,213.15,15,15,3,2.52,2010-12-17 12:24:00,2011-12-05 14:39:00
20795,LARGE BLUE PROVENCAL CERAMIC BALL,44,92.4,8,6,2,2.1,2011-01-24 14:54:00,2011-12-02 13:17:00
