InvoiceNo,CustomerID,Country,OrderDate,OrderMonth,order_line_count,order_unique_products,order_total_quantity,order_total_revenue,order_avg_unit_price
536535,15605,United Kingdom,2010-12-01 13:38:00,2010-12,12,12,71,194.85,4.85
536536,18144,United Kingdom,2010-12-01 13:45:00,2010-12,3,3,95,165.05,2.63
536537,15922,United Kingdom,2010-12-01 13:51:00,2010-12,11,11,138,369.5,4.41
536538,14594,United Kingdom,2010-12-01 13:54:00,2010-12,31,31,146,255.0,3.01
536539,15165,United Kingdom,2010-12-01 14:03:00,2010-12,27,27,160,487.75,4.99
536540,14911,EIRE,2010-12-01 14:05:00,2010-12,20,20,231,540.38,6.62
536541,14911,EIRE,2010-12-01 14:05:00,2010-12,1,1,12,15.0,1.25
536542,16456,United Kingdom,2010-12-01 14:11:00,2010-12,16,16,392,787.4,1.97
536551,17346,United Kingdom,2010-12-01 14:34:00,2010-12,31,29,84,134.11,2.14
536556,17643,United Kingdom,2010-12-01 14:38:00,2010-12,8,8,71,101.55,4.02
536557,17841,United Kingdom,2010-12-01 14:41:00,2010-12,64,62,198,532.43,3.86
536559,17873,United Kingdom,2010-12-01 14:54:00,2010-12,8,7,117,204.95,2.16
536560,13093,United Kingdom,2010-12-01 15:00:00,2010-12,13,13,256,799.4,5.18
536561,12921,United Kingdom,2010-12-01 15:06:00,2010-12,15,15,140,322.4,2.48
536562,13468,United Kingdom,2010-12-01 15:08:00,2010-12,18,18,99,308.65,5.02
536563,17760,United Kingdom,2010-12-01 15:08:00,2010-12,9,9,165,172.54,2.62
536564,13468,United Kingdom,2010-12-01 15:08:00,2010-12,2,2,12,51.4,5.7
536566,16928,United Kingdom,2010-12-01 15:21:00,2010-12,6,6,93,116.25,1.25
536567,16048,United Kingdom,2010-12-01 15:27:00,2010-12,7,7,132,251.4,1.79
536568,16048,United Kingdom,2010-12-01 15:28:00,2010-12,1,1,12,5.04,0.42
536569,16274,United Kingdom,2010-12-01 15:35:00,2010-12,65,64,153,351.75,4.31
536570,14496,United Kingdom,2010-12-01 15:35:00,2010-12,5,5,86,304.34,5.36
536571,14696,United Kingdom,2010-12-01 15:37:00,2010-12,18,18,284,294.62,2.32
536572,16539,United Kingdom,2010-12-01 15:40:00,2010-12,21,21,301,442.35,2.41
536573,17025,United Kingdom,2010-12-01 15:45:00,2010-12,4,4,136,143.12,0.98
536574,17025,United Kingdom,2010-12-01 15:46:00,2010-12,1,1,3,17.85,5.95
536575,13777,United Kingdom,2010-12-01 16:01:00,2010-12,8,8,858,1552.98,2.1
536576,13777,United Kingdom,2010-12-01 16:11:00,2010-12,16,16,1122,2558.42,2.31
536577,13777,United Kingdom,2010-12-01 16:13:00,2010-12,4,4,388,497.0,1.3
536578,17690,United Kingdom,2010-12-01 16:15:00,2010-12,8,8,104,279.6,3.21
536579,13777,United Kingdom,2010-12-01 16:16:00,2010-12,2,2,276,315.96,1.25
536580,17690,United Kingdom,2010-12-01 16:17:00,2010-12,6,6,66,97.2,1.52
536581,13777,United Kingdom,2010-12-01 16:19:00,2010-12,1,1,200,330.0,1.65
536582,12947,United Kingdom,2010-12-01 16:21:00,2010-12,17,17,184,304.04,2.96
536583,13777,United Kingdom,2010-12-01 16:21:00,2010-12,1,1,120,198.0,1.65
536584,13777,United Kingdom,2010-12-01 16:22:00,2010-12,1,1,384,1132.8,2.95
536585,17460,United Kingdom,2010-12-01 16:24:00,2010-12,1,1,2,19.9,9.95
536586,18229,United Kingdom,2010-12-01 16:25:00,2010-12,7,7,44,344.2,6.95
536587,14142,United Kingdom,2010-12-01 16:33:00,2010-12,22,22,313,311.81,1.77
536588,17069,United Kingdom,2010-12-01 16:49:00,2010-12,11,11,103,277.05,3.3
536590,13065,United Kingdom,2010-12-01 16:52:00,2010-12,14,14,74,205.86,5.22
536591,14606,United Kingdom,2010-12-01 16:57:00,2010-12,40,40,93,198.32,2.95
536593,16835,United Kingdom,2010-12-01 17:15:00,2010-12,5,5,19,81.75,5.34
536594,15235,United Kingdom,2010-12-01 17:22:00,2010-12,5,5,34,79.5,2.71
536595,13576,United Kingdom,2010-12-01 17:24:00,2010-12,11,11,108,349.15,3.28
536597,18011,United Kingdom,2010-12-01 17:35:00,2010-12,28,28,71,102.79,2.36
536598,13090,United Kingdom,2010-12-02 07:48:00,2010-12,4,4,76,160.6,1.9
536599,15694,United Kingdom,2010-12-02 07:49:00,2010-12,6,6,80,306.4,5.36
536600,17850,United Kingdom,2010-12-02 08:32:00,2010-12,12,12,56,251.62,6.55
536601,17850,United Kingdom,2010-12-02 08:33:00,2010-12,2,2,12,22.2,1.85
536602,17850,United Kingdom,2010-12-02 08:34:00,2010-12,12,12,64,163.76,2.96
536603,17850,United Kingdom,2010-12-02 08:40:00,2010-12,2,2,12,22.2,1.85
536604,14741,United Kingdom,2010-12-02 08:43:00,2010-12,9,9,114,184.5,1.79
536605,13715,United Kingdom,2010-12-02 08:52:00,2010-12,15,15,107,272.65,3.32
536607,17732,United Kingdom,2010-12-02 09:29:00,2010-12,18,18,93,303.97,4.95
536608,12855,United Kingdom,2010-12-02 09:37:00,2010-12,3,3,30,38.1,1.55
536609,17850,United Kingdom,2010-12-02 09:41:00,2010-12,16,16,88,244.46,3.11
536610,17850,United Kingdom,2010-12-02 09:42:00,2010-12,2,2,12,22.2,1.85
536611,15752,United Kingdom,2010-12-02 09:43:00,2010-12,14,14,153,259.65,1.89
536612,17850,United Kingdom,2010-12-02 09:44:00,2010-12,15,15,82,206.76,2.81
536613,17855,United Kingdom,2010-12-02 09:44:00,2010-12,17,17,197,208.97,1.77
536614,17850,United Kingdom,2010-12-02 09:44:00,2010-12,2,2,12,22.2,1.85
536615,14047,United Kingdom,2010-12-02 10:09:00,2010-12,12,12,108,286.92,5.67
536616,17925,United Kingdom,2010-12-02 10:10:00,2010-12,1,1,72,244.08,3.39
536617,13941,United Kingdom,2010-12-02 10:17:00,2010-12,11,11,644,1095.12,2.13
536618,17017,United Kingdom,2010-12-02 10:17:00,2010-12,21,21,600,780.12,1.43
536619,17017,United Kingdom,2010-12-02 10:18:00,2010-12,2,2,48,97.2,2.6
536620,14135,United Kingdom,2010-12-02 10:27:00,2010-12,23,23,741,485.25,1.26
536621,13108,United Kingdom,2010-12-02 10:35:00,2010-12,10,10,298,350.06,1.75
536623,15601,United Kingdom,2010-12-02 10:39:00,2010-12,48,48,666,768.38,1.72
536624,13418,United Kingdom,2010-12-02 10:45:00,2010-12,22,22,228,610.64,3.45
536626,13418,United Kingdom,2010-12-02 10:46:00,2010-12,1,1,6,12.6,2.1
536627,15658,United Kingdom,2010-12-02 10:53:00,2010-12,14,14,64,306.2,7.19
536628,17850,United Kingdom,2010-12-02 10:54:00,2010-12,16,16,86,230.56,3.11
536629,17850,United Kingdom,2010-12-02 10:55:00,2010-12,2,2,12,22.2,1.85
536630,17850,United Kingdom,2010-12-02 10:56:00,2010-12,16,16,88,244.46,3.11
536631,17850,United Kingdom,2010-12-02 10:58:00,2010-12,2,2,12,22.2,1.85
536632,14388,United Kingdom,2010-12-02 11:02:00,2010-12,21,21,170,312.8,3.01
536633,14901,United Kingdom,2010-12-02 11:20:00,2010-12,18,18,105,204.15,2.52
536634,18041,United Kingdom,2010-12-02 11:21:00,2010-12,14,14,159,193.78,2.05
536635,15955,United Kingdom,2010-12-02 11:22:00,2010-12,20,20,246,572.38,2.95
536636,15070,United Kingdom,2010-12-02 11:23:00,2010-12,1,1,36,106.2,2.95
536637,18041,United Kingdom,2010-12-02 11:35:00,2010-12,59,55,157,219.66,1.94
536638,16244,United Kingdom,2010-12-02 11:41:00,2010-12,63,63,619,1056.63,2.63
536639,15111,United Kingdom,2010-12-02 11:45:00,2010-12,16,16,106,288.5,4.05
536641,12748,United Kingdom,2010-12-02 11:46:00,2010-12,1,1,1,4.25,4.25
536643,14390,United Kingdom,2010-12-02 11:57:00,2010-12,27,26,74,223.7,3.26
536663,16546,United Kingdom,2010-12-02 12:07:00,2010-12,6,6,156,299.4,1.84
536667,15260,United Kingdom,2010-12-02 12:09:00,2010-12,16,16,214,362.5,3.18
536670,15260,United Kingdom,2010-12-02 12:09:00,2010-12,1,1,40,58.0,1.45
536671,13305,United Kingdom,2010-12-02 12:10:00,2010-12,5,5,132,136.2,1.09
536672,14491,United Kingdom,2010-12-02 12:10:00,2010-12,4,4,40,127.2,4.15
536673,14060,United Kingdom,2010-12-02 12:11:00,2010-12,8,8,504,339.84,0.74
536674,15923,United Kingdom,2010-12-02 12:16:00,2010-12,21,21,122,127.08,2.81
536676,16752,United Kingdom,2010-12-02 12:18:00,2010-12,9,9,54,207.5,13.59
536681,17287,United Kingdom,2010-12-02 12:22:00,2010-12,13,13,46,113.92,2.81
536685,17850,United Kingdom,2010-12-02 12:23:00,2010-12,17,17,108,380.46,5.03
536688,17850,United Kingdom,2010-12-02 12:24:00,2010-12,2,2,12,22.2,1.85
536690,17850,United Kingdom,2010-12-02 12:25:00,2010-12,17,17,92,331.26,5.03
536693,17850,United Kingdom,2010-12-02 12:26:00,2010-12,2,2,12,22.2,1.85
536698,15363,United Kingdom,2010-12-02 12:28:00,2010-12,16,16,144,326.0,2.99
536707,12915,United Kingdom,2010-12-02 12:33:00,2010-12,13,13,41,199.65,7.69
536732,15544,United Kingdom,2010-12-02 12:47:00,2010-12,26,26,274,354.54,1.95
536733,15738,United Kingdom,2010-12-02 12:50:00,2010-12,14,14,255,329.65,1.85
536735,17381,United Kingdom,2010-12-02 12:58:00,2010-12,1,1,128,211.2,1.65
536736,17381,United Kingdom,2010-12-02 12:59:00,2010-12,5,5,1296,824.88,0.83
536738,15827,United Kingdom,2010-12-02 13:06:00,2010-12,7,7,42,98.18,6.16
536739,14180,United Kingdom,2010-12-02 13:08:00,2010-12,12,12,31,201.75,8.65
536740,15827,United Kingdom,2010-12-02 13:08:00,2010-12,7,7,67,92.75,2.56
536741,13117,United Kingdom,2010-12-02 13:11:00,2010-12,15,15,130,202.12,1.7
536742,16916,United Kingdom,2010-12-02 13:14:00,2010-12,49,48,102,196.43,2.56
536743,17964,United Kingdom,2010-12-02 13:32:00,2010-12,35,35,195,261.76,3.56
536744,14466,United Kingdom,2010-12-02 13:36:00,2010-12,10,10,137,379.75,5.73
536745,17235,United Kingdom,2010-12-02 13:38:00,2010-12,10,10,126,341.9,3.43
536746,16510,United Kingdom,2010-12-02 13:39:00,2010-12,13,13,92,248.1,5.35
536747,17802,United Kingdom,2010-12-02 13:44:00,2010-12,12,12,75,100.2,1.54
536748,15107,United Kingdom,2010-12-02 13:45:00,2010-12,5,5,26,116.0,6.6
536749,17976,United Kingdom,2010-12-02 13:49:00,2010-12,57,56,93,321.79,3.65
536750,17850,United Kingdom,2010-12-02 14:04:00,2010-12,19,19,118,434.8,5.02
536751,17850,United Kingdom,2010-12-02 14:05:00,2010-12,2,2,12,22.2,1.85
536752,17850,United Kingdom,2010-12-02 14:06:00,2010-12,19,19,104,390.66,5.02
536753,17850,United Kingdom,2010-12-02 14:07:00,2010-12,2,2,12,22.2,1.85
536754,14449,United Kingdom,2010-12-02 14:09:00,2010-12,50,50,142,210.24,1.74
536759,16781,United Kingdom,2010-12-02 14:26:00,2010-12,17,17,113,311.25,5.01
536761,13491,United Kingdom,2010-12-02 14:30:00,2010-12,7,7,36,98.9,4.56
536762,16186,United Kingdom,2010-12-02 14:40:00,2010-12,20,20,231,307.68,1.92
536763,17685,United Kingdom,2010-12-02 14:42:00,2010-12,12,12,331,452.52,1.55
536769,17581,United Kingdom,2010-12-02 14:47:00,2010-12,31,31,375,668.4,2.55
536771,17581,United Kingdom,2010-12-02 14:49:00,2010-12,7,7,66,118.38,2.01
536777,15732,United Kingdom,2010-12-02 15:00:00,2010-12,5,5,97,138.1,1.84
536778,13138,United Kingdom,2010-12-02 15:03:00,2010-12,14,14,125,193.23,2.77
536779,15823,United Kingdom,2010-12-02 15:08:00,2010-12,1,1,1,15.0,15.0
536781,17460,United Kingdom,2010-12-02 15:14:00,2010-12,1,1,24,50.4,2.1
536782,17567,United Kingdom,2010-12-02 15:18:00,2010-12,27,27,244,517.95,3.51
536783,15061,United Kingdom,2010-12-02 15:19:00,2010-12,38,38,2909,4076.48,1.75
536784,15061,United Kingdom,2010-12-02 15:20:00,2010-12,25,25,1330,2170.9,1.85
536785,15061,United Kingdom,2010-12-02 15:22:00,2010-12,6,6,1008,2730.96,2.94
536786,15061,United Kingdom,2010-12-02 15:23:00,2010-12,2,2,144,324.0,2.75
536787,17850,United Kingdom,2010-12-02 15:24:00,2010-12,13,13,76,192.46,2.79
536788,15061,United Kingdom,2010-12-02 15:25:00,2010-12,1,1,60,75.0,1.25
536789,17850,United Kingdom,2010-12-02 15:25:00,2010-12,2,2,12,22.2,1.85
536790,17850,United Kingdom,2010-12-02 15:26:00,2010-12,17,17,141,532.01,5.48
536791,17850,United Kingdom,2010-12-02 15:27:00,2010-12,2,2,24,44.4,1.85
536792,15061,United Kingdom,2010-12-02 15:28:00,2010-12,1,1,24,30.0,1.25
536793,16203,United Kingdom,2010-12-02 15:39:00,2010-12,11,11,70,170.7,3.08
536794,13767,United Kingdom,2010-12-02 15:40:00,2010-12,4,4,96,322.8,3.39
536795,15640,United Kingdom,2010-12-02 15:40:00,2010-12,7,7,180,333.72,1.83
536796,15574,United Kingdom,2010-12-02 15:46:00,2010-12,105,96,159,349.04,2.2
536797,16770,United Kingdom,2010-12-02 15:49:00,2010-12,6,6,56,130.8,2.65
536798,17838,United Kingdom,2010-12-02 15:55:00,2010-12,29,29,454,684.46,2.61
536799,17228,United Kingdom,2010-12-02 16:00:00,2010-12,18,18,122,183.3,1.73
536800,14829,United Kingdom,2010-12-02 16:12:00,2010-12,19,19,190,236.97,1.8
536802,17412,United Kingdom,2010-12-02 16:29:00,2010-12,8,8,50,197.3,4.71
536803,14911,EIRE,2010-12-02 16:33:00,2010-12,1,1,6,22.5,3.75
536804,14031,United Kingdom,2010-12-02 16:34:00,2010-12,25,25,531,1714.25,4.23
536805,14775,United Kingdom,2010-12-02 16:38:00,2010-12,20,20,384,406.56,1.15
536806,12971,United Kingdom,2010-12-02 16:42:00,2010-12,5,5,84,45.12,0.58
536808,17659,United Kingdom,2010-12-02 16:46:00,2010-12,12,12,64,247.8,6.31
536809,15299,United Kingdom,2010-12-02 16:48:00,2010-12,1,1,1824,1003.2,0.55
536810,15299,United Kingdom,2010-12-02 16:50:00,2010-12,1,1,204,303.96,1.49
536811,15299,United Kingdom,2010-12-02 16:51:00,2010-12,1,1,69,527.85,7.65
536813,15646,United Kingdom,2010-12-02 16:59:00,2010-12,17,17,230,189.8,1.39
536819,13402,United Kingdom,2010-12-02 17:12:00,2010-12,17,17,190,308.28,2.73
536821,17757,United Kingdom,2010-12-02 17:17:00,2010-12,23,23,80,143.45,2.51
536823,13011,United Kingdom,2010-12-02 17:22:00,2010-12,3,3,13,50.55,4.22
536824,13798,United Kingdom,2010-12-02 17:24:00,2010-12,1,1,160,408.0,2.55
536830,16754,United Kingdom,2010-12-02 17:38:00,2010-12,2,2,4280,2002.4,0.62
536831,16029,United Kingdom,2010-12-02 17:40:00,2010-12,4,4,260,569.4,3.0
536832,16634,United Kingdom,2010-12-02 17:41:00,2010-12,8,8,64,164.8,4.7
536833,18239,United Kingdom,2010-12-02 17:48:00,2010-12,29,29,208,438.1,3.34
536834,14576,United Kingdom,2010-12-02 17:51:00,2010-12,1,1,12,35.4,2.95
536835,13145,United Kingdom,2010-12-02 18:06:00,2010-12,1,1,1,295.0,295.0
536836,18168,United Kingdom,2010-12-02 18:08:00,2010-12,27,26,133,263.3,4.31
536837,14395,United Kingdom,2010-12-02 18:15:00,2010-12,27,27,174,308.68,2.96
536838,14865,United Kingdom,2010-12-02 18:23:00,2010-12,3,3,96,37.2,0.45
536839,15093,United Kingdom,2010-12-02 18:25:00,2010-12,16,16,879,623.73,1.39
536840,12738,Germany,2010-12-02 18:27:00,2010-12,11,11,148,155.35,3.95
536841,16150,United Kingdom,2010-12-02 18:27:00,2010-12,22,22,174,393.42,3.34
536842,17552,United Kingdom,2010-12-02 18:45:00,2010-12,11,11,130,263.62,3.37
536843,17552,United Kingdom,2010-12-02 18:46:00,2010-12,2,2,14,34.9,5.6
536844,14236,United Kingdom,2010-12-02 18:49:00,2010-12,3,3,38,189.3,5.55
536845,17961,United Kingdom,2010-12-02 19:18:00,2010-12,29,28,45,127.55,3.62
536846,14573,United Kingdom,2010-12-02 19:59:00,2010-12,70,68,126,402.0,4.23
536847,17135,United Kingdom,2010-12-03 09:31:00,2010-12,9,9,222,215.58,1.21
536848,13408,United Kingdom,2010-12-03 09:39:00,2010-12,3,3,280,534.0,1.95
536849,17396,United Kingdom,2010-12-03 09:45:00,2010-12,3,3,106,397.5,3.75
536851,12967,United Kingdom,2010-12-03 09:49:00,2010-12,15,15,360,1368.4,7.2
536852,12686,France,2010-12-03 09:51:00,2010-12,7,7,107,89.14,3.26
536856,13370,United Kingdom,2010-12-03 10:26:00,2010-12,39,39,343,754.87,3.73
536857,16883,United Kingdom,2010-12-03 10:33:00,2010-12,17,17,54,128.03,3.66
536858,13520,Switzerland,2010-12-03 10:36:00,2010-12,6,6,110,303.4,9.24
536859,12841,United Kingdom,2010-12-03 10:43:00,2010-12,24,24,186,294.25,2.74
536860,16905,United Kingdom,2010-12-03 10:43:00,2010-12,10,10,108,254.4,3.95
536861,12427,Germany,2010-12-03 10:44:00,2010-12,10,10,79,303.5,4.92
536863,17967,United Kingdom,2010-12-03 11:19:00,2010-12,42,41,73,112.27,1.92
536874,16891,United Kingdom,2010-12-03 11:35:00,2010-12,63,63,86,217.26,2.78
536884,14589,United Kingdom,2010-12-03 11:42:00,2010-12,3,3,5,39.75,7.95
536890,14156,EIRE,2010-12-03 11:48:00,2010-12,3,3,1548,322.2,0.62
536938,14680,United Kingdom,2010-12-03 12:05:00,2010-12,14,14,464,1680.88,3.29
536943,17884,United Kingdom,2010-12-03 12:11:00,2010-12,28,28,170,187.51,1.91
536944,12557,Spain,2010-12-03 12:20:00,2010-12,5,5,400,620.0,1.57
536945,14083,United Kingdom,2010-12-03 12:24:00,2010-12,62,62,152,294.01,2.98
536946,13013,United Kingdom,2010-12-03 12:28:00,2010-12,29,29,363,841.94,3.11
536947,13013,United Kingdom,2010-12-03 12:29:00,2010-12,38,38,439,686.4,2.9
536954,17809,United Kingdom,2010-12-03 12:41:00,2010-12,1,1,100,425.0,4.25
536956,14210,United Kingdom,2010-12-03 12:43:00,2010-12,15,15,93,304.95,4.5
536957,17809,United Kingdom,2010-12-03 12:43:00,2010-12,13,13,234,791.7,3.74
536960,16477,United Kingdom,2010-12-03 12:48:00,2010-12,14,14,125,225.65,2.55
536967,12600,Germany,2010-12-03 12:57:00,2010-12,2,2,31,76.5,9.98
536968,16013,United Kingdom,2010-12-03 13:09:00,2010-12,2,2,168,534.0,3.5
536969,16013,United Kingdom,2010-12-03 13:10:00,2010-12,1,1,192,528.0,2.75
536970,17949,United Kingdom,2010-12-03 13:12:00,2010-12,1,1,120,1314.0,10.95
536971,12779,Poland,2010-12-03 13:40:00,2010-12,8,8,140,248.16,2.37
536972,16926,United Kingdom,2010-12-03 13:42:00,2010-12,14,14,35,230.25,6.98
536973,17787,United Kingdom,2010-12-03 13:43:00,2010-12,31,30,356,736.28,3.51
536974,12682,France,2010-12-03 13:59:00,2010-12,16,16,132,336.24,4.19
536975,14911,EIRE,2010-12-03 14:04:00,2010-12,71,71,827,1705.65,4.26
536976,14723,United Kingdom,2010-12-03 14:18:00,2010-12,19,19,76,149.8,1.98
536977,17954,United Kingdom,2010-12-03 14:18:00,2010-12,14,14,60,108.78,2.64
536980,17819,United Kingdom,2010-12-03 14:26:00,2010-12,12,12,239,591.47,2.44
536981,14723,United Kingdom,2010-12-03 14:26:00,2010-12,23,22,38,97.39,3.35
536983,12712,Germany,2010-12-03 14:30:00,2010-12,9,9,60,175.53,5.18
536984,17841,United Kingdom,2010-12-03 14:35:00,2010-12,29,29,136,339.54,3.7
536985,15373,United Kingdom,2010-12-03 14:40:00,2010-12,11,11,42,334.3,9.36
536986,16140,United Kingdom,2010-12-03 14:40:00,2010-12,7,7,104,124.14,1.71
536987,17198,United Kingdom,2010-12-03 14:54:00,2010-12,53,52,124,272.01,2.87
536988,17238,United Kingdom,2010-12-03 15:05:00,2010-12,38,38,100,254.39,3.32
536989,17238,United Kingdom,2010-12-03 15:10:00,2010-12,22,22,26,115.7,4.45
536990,12793,Portugal,2010-12-03 15:14:00,2010-12,7,7,65,131.8,5.49
536992,15769,United Kingdom,2010-12-03 15:16:00,2010-12,1,1,36,91.8,2.55
536993,14396,United Kingdom,2010-12-03 15:19:00,2010-12,34,34,39,110.35,3.0
536994,14898,United Kingdom,2010-12-03 15:25:00,2010-12,3,3,18,98.5,8.22
537022,12725,Italy,2010-12-03 15:45:00,2010-12,24,24,164,427.8,4.1
